Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_shoulder_pitch_link,0.00197438968236829,0.100964924088391,8.59182374468581E-07,0,0,0,1.34488377626041,0.0008745204707895,1.71041137980048E-05,3.98186691203154E-08,0.00110042692593782,-3.02778000725292E-07,0.000989751953461378,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_pitch_link.STL,,HAD2503-BY030202-1,left_shoulder_pitch_joint,left_shoulder_pitch_link,left_shoulder_pitch_joint,revolute,-0.0365,0.107,0.2435,0,0,0,waist_roll_link,0,1,0,100,3.14,-3.14,2.61,,,,,,,,
left_shoulder_roll_link,6.9572679128771E-05,0.00014468175569804,-0.0848292249638397,0,0,0,1.40374063913786,0.00157545183548037,-2.46609504973134E-07,-2.18421853385254E-06,0.00146281058651967,-4.47041609885552E-06,0.000894939773347348,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_roll_link.STL,,HAD2503-BY030203-1,left_sholder_roll_joint,left_sholder_roll_link,left_shoulder_roll_joint,revolute,0,0.103,0,0,0,0,left_shoulder_pitch_link,1,0,0,100,3.14,-0.034,3.14,,,,,,,,
left_shoulder_yaw_link,-0.00193814666342806,3.76929308616436E-05,-0.125119392872818,0,0,0,1.34125213530209,0.000870263529338309,5.68339308462922E-07,1.55592708546729E-05,0.000982152647655237,-7.24807508890508E-07,0.00109439799981073,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_shoulder_yaw_link.STL,,HAD2503-BY030204-1,left_shoulder_yaw_joint,left_shoulder_yaw_link,left_shoulder_yaw_joint,revolute,0,0,-0.056,0,0,0,left_shoulder_roll_link,0,0,1,100,3.14,-2.79,2.79,,,,,,,,
left_elbow_link,-4.00117268831712E-05,0.00101583808375394,-0.092784078543613,0,0,0,0.791136993576416,0.0010821859597443,-1.03630043922083E-07,-1.3910445569232E-06,0.00099804206862677,-1.3714686435078E-05,0.000380706610945774,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_elbow_link.STL,,HAD2503-BY030205-1,left_elbow_joint,left_elbow_link,left_elbow_joint,revolute,0,0,-0.127,0,0,0,left_shoulder_yaw_link,1,0,0,100,3.14,-2.18,1.133,,,,,,,,
left_wrist_yaw_link,2.29494932701968E-06,0.00188803370675061,-0.0842796237252479,0,0,0,0.144249520710473,0.000123766043937605,-3.49007411812671E-09,-3.5965080704309E-09,8.74627481639213E-05,-2.39786015927759E-05,0.000144391452158054,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_yaw_link.STL,,HAD2503-B0YFLCS01-1,left_wrist_yaw_joint,left_wrist_yaw_link,left_wrist_yaw_joint,revolute,0,0,-0.0803,0,0,0,left_elbow_link,0,0,1,100,3.14,-2.79,2.79,,,,,,,,
left_wrist_pitch_link,0.00231441926825215,-0.00233575820677823,-0.0262544936035469,0,0,0,1.11905779624014,0.000532423333175471,-4.82452674546585E-07,6.51579297542579E-06,0.000532259765284559,6.86808731095481E-06,0.000445659114733022,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_pitch_link.STL,,HAD2503-B0YFLCS02-1,left_wrist_pitch_joint,left_wrist_pitch_link,left_wrist_pitch_joint,revolute,0,0,-0.1057,0,0,0,left_wrist_yaw_link,0,1,0,100,3.14,-1.133,1.133,,,,,,,,
left_wrist_roll_link,-0.000763143908038222,-2.92740850404982E-06,-0.0750798561463864,0,0,0,0.61531676364399,0.000268539983997136,2.95207163199238E-08,-2.62601998184567E-05,0.000315892200915866,2.7405245380506E-08,0.000386365642957164,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_wrist_roll_link.STL,,HAD2503-B0YFLCS03-1,left_wrist_roll_joint,left_wrist_roll_link,left_wrist_roll_joint,revolute,0,0,-0.0525,0,0,0,left_wrist_pitch_link,1,0,0,100,3.14,-1.133,1.133,,,,,,,,
left_dex1_finger_link_2,-0.0264347838022782,0.0123875799755235,-0.0387282082166986,0,0,0,0.131361177900154,0.000204527419565861,7.19716346913376E-06,-1.90913171724041E-05,0.000176917605290111,1.33142643691709E-05,5.39635056093654E-05,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_dex1_finger_link_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_dex1_finger_link_2.STL,,HAD2503-YFLCS01Z-01-1,left_dex1_finger_joint_2,left_dex1_finger_link_2,left_dex1_finger_joint_2,prismatic,-0.012,-0.01475,-0.1225,0,0,0,left_wrist_roll_link,1,0,0,10,10,0,0.02,,,,,,,,
left_dex1_finger_link_1,0.0214347838022421,-0.0123875795519008,-0.0387282082166839,0,0,0,0.131361177900154,0.000204527419565859,7.19716346912466E-06,1.9091317172415E-05,0.000176917605290125,-1.3314264369107E-05,5.39635056093534E-05,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_dex1_finger_link_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/left_dex1_finger_link_1.STL,,HAD2503-YFLCS01Z-01-2,left_dex1_finger_joint_1,left_dex1_finger_link_1,left_dex1_finger_joint_1,prismatic,0.017,0.01475,-0.1225,0,0,0,left_wrist_roll_link,1,0,0,10,10,-0.02,0,,,,,,,,
head_yaw_link,0.00326876010594535,0.000244929904136271,0.0896071775464107,0,0,0,1.31464506730034,0.000645224172484295,-1.37548543181294E-06,-1.07287921729529E-05,0.000559026225310393,-6.88835729541265E-06,0.00058470928915716,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/head_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/head_yaw_link.STL,,HAD2503-BY040103-1;HAD2503-BY0401-1,head_yaw_joint,head_yaw_link,head_yaw_joint,revolute,-0.0365,0,0.2435,0,0,0,waist_roll_link,0,0,1,100,3.14,-1.133,1.133,,,,,,,,
